date,country,municipality,confirmed,deaths,recovered,active,pcr,lat,long,population,km_sq,population_mne,km_sq_mne
2020-04-15,Montenegro,Tivat,3,0,NA,NA,261,42.43639,18.69611,14031,46,631219,13812
2020-04-15,Montenegro,Bijelo Polje,6,0,NA,NA,261,43.03834,19.74758,46051,924,631219,13812
2020-04-15,Montenegro,Nikšić,32,0,NA,NA,261,42.7731,18.94446,72443,2065,631219,13812
2020-04-15,Montenegro,Plav,1,0,NA,NA,261,42.59694,19.94556,9081,328,631219,13812
2020-04-16,Montenegro,Tuzi,36,0,NA,NA,374,42.365556,19.331389,12096,236,631219,13812
2020-04-16,Montenegro,Podgorica,157,3,NA,NA,374,42.441286,19.262892,185937,1399,631219,13812
2020-04-16,Montenegro,Bar,23,0,NA,NA,374,42.099998,19.1,42048,598,631219,13812
2020-04-16,Montenegro,Andrijevica,7,0,NA,NA,374,42.73389,19.79194,5071,283,631219,13812
2020-04-16,Montenegro,Herceg Novi,6,1,NA,NA,374,42.45295,18.531203,30864,235,631219,13812
2020-04-16,Montenegro,Budva,4,0,NA,NA,374,42.28639,18.84,19218,122,631219,13812
2020-04-16,Montenegro,Ulcinj,16,0,NA,NA,374,41.92936,19.22436,19921,255,631219,13812
2020-04-16,Montenegro,Danilovgrad,3,0,NA,NA,374,42.55384,19.14608,18472,501,631219,13812
2020-04-16,Montenegro,Tivat,3,0,NA,NA,374,42.43639,18.69611,14031,46,631219,13812
2020-04-16,Montenegro,Bijelo Polje,6,0,NA,NA,374,43.03834,19.74758,46051,924,631219,13812
2020-04-16,Montenegro,Nikšić,32,0,NA,NA,374,42.7731,18.94446,72443,2065,631219,13812
2020-04-16,Montenegro,Plav,1,0,NA,NA,374,42.59694,19.94556,9081,328,631219,13812
2020-04-17,Montenegro,Tuzi,36,0,NA,NA,31,42.365556,19.331389,12096,236,631219,13812
2020-04-17,Montenegro,Podgorica,157,3,NA,NA,31,42.441286,19.262892,185937,1399,631219,13812
2020-04-17,Montenegro,Bar,23,0,NA,NA,31,42.099998,19.1,42048,598,631219,13812
2020-04-17,Montenegro,Andrijevica,7,0,NA,NA,31,42.73389,19.79194,5071,283,631219,13812
